Estado ,Tasa* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,"11,97 ",  64 ,  0 ,  0 ,  3 ,  9 ,  3 ,  6 ,  6 ,  5 ,  7 ,  11 ,  13 ,  1
Baja California ,"10,49 ",  152 ,  25 ,  11 ,  7 ,  7 ,  14 ,  13 ,  4 ,  32 ,  18 ,  8 ,  6 ,  7
Baja California Sur ,"65,88 ",  161 ,  11 ,  10 ,  19 ,  17 ,  12 ,  10 ,  11 ,  12 ,  11 ,  20 ,  20 ,  8
Campeche ,"33,97 ",  130 ,  8 ,  6 ,  18 ,  9 ,  18 ,  4 ,  9 ,  12 ,  18 ,  4 ,  15 ,  9
Coahuila ,"4,44 ",  56 ,  2 ,  2 ,  2 ,  3 ,  13 ,  4 ,  3 ,  12 ,  6 ,  3 ,  4 ,  2
Colima ,"12,18 ",  36 ,  3 ,  3 ,  4 ,  4 ,  5 ,  3 ,  1 ,  2 ,  4 ,  2 ,  3 ,  2
Chiapas ,"14,98 ",  329 ,  22 ,  32 ,  31 ,  22 ,  26 ,  21 ,  37 ,  30 ,  29 ,  34 ,  27 ,  18
Chihuahua ,"51,62 ",  875 ,  57 ,  69 ,  83 ,  69 ,  105 ,  61 ,  59 ,  99 ,  115 ,  61 ,  72 ,  25
Distrito Federal ,"12,78 ",  578 ,  28 ,  49 ,  58 ,  49 ,  54 ,  30 ,  40 ,  58 ,  54 ,  53 ,  57 ,  48
Durango ,"7,29 ",  57 ,  4 ,  2 ,  7 ,  3 ,  7 ,  8 ,  3 ,  5 ,  8 ,  4 ,  5 ,  1
Guanajuato ,"3,92 ",  102 ,  3 ,  13 ,  7 ,  6 ,  12 ,  10 ,  9 ,  6 ,  9 ,  9 ,  11 ,  7
Guerrero ,"6,76 ",  111 ,  10 ,  8 ,  7 ,  4 ,  15 ,  15 ,  8 ,  13 ,  8 ,  10 ,  4 ,  9
Hidalgo ,"56,30 ",  684 ,  42 ,  31 ,  36 ,  39 ,  55 ,  52 ,  23 ,  63 ,  51 ,  68 ,  58 ,  166
Jalisco ,"75,85 ", 2 602 ,  127 ,  139 ,  207 ,  215 ,  270 ,  254 ,  216 ,  294 ,  222 ,  211 ,  244 ,  203
México ,"5,37 ",  394 ,  27 ,  26 ,  41 ,  36 ,  47 ,  38 ,  27 ,  38 ,  29 ,  33 ,  36 ,  16
Michoacán ,"19,72 ",  426 ,  14 ,  42 ,  35 ,  21 ,  47 ,  49 ,  33 ,  53 ,  33 ,  31 ,  35 ,  33
Morelos ,"20,80 ",  180 ,  12 ,  19 ,  10 ,  16 ,  13 ,  3 ,  27 ,  16 ,  19 ,  18 ,  18 ,  9
Nayarit ,"70,27 ",  347 ,  27 ,  38 ,  55 ,  28 ,  5 ,  6 ,  14 ,  18 ,  7 ,  61 ,  64 ,  24
Nuevo León ,"16,85 ",  355 ,  31 ,  27 ,  24 ,  38 ,  45 ,  20 ,  23 ,  27 ,  30 ,  25 ,  33 ,  32
Oaxaca ,"17,93 ",  339 ,  19 ,  25 ,  37 ,  33 ,  45 ,  20 ,  21 ,  28 ,  35 ,  12 ,  32 ,  32
Puebla ,"8,23 ",  231 ,  9 ,  12 ,  12 ,  29 ,  17 ,  30 ,  31 ,  13 ,  27 ,  15 ,  32 ,  4
Querétaro ,"8,93 ",  72 ,  3 ,  5 ,  7 ,  8 ,  5 ,  9 ,  8 ,  12 ,  6 ,  4 ,  4 ,  1
Quintana Roo ,"21,99 ",  116 ,  4 ,  4 ,  11 ,  10 ,  16 ,  9 ,  13 ,  18 ,  8 ,  6 ,  12 ,  5
San Luis Potosí ,"6,47 ",  79 ,  6 ,  7 ,  9 ,  6 ,  11 ,  4 ,  4 ,  11 ,  8 ,  0 ,  7 ,  6
Sinaloa ,"6,65 ",  91 ,  3 ,  14 ,  9 ,  15 ,  4 ,  5 ,  6 ,  3 ,  13 ,  10 ,  9 ,  0
Sonora ,"5,88 ",  72 ,  1 ,  0 ,  4 ,  1 ,  4 ,  0 ,  5 ,  18 ,  13 ,  13 ,  9 ,  4
Tabasco ,"23,88 ",  246 ,  14 ,  13 ,  21 ,  46 ,  24 ,  13 ,  21 ,  17 ,  21 ,  18 ,  24 ,  14
Tamaulipas ,"4,13 ",  65 ,  9 ,  8 ,  4 ,  5 ,  6 ,  4 ,  3 ,  5 ,  10 ,  7 ,  2 ,  2
Tlaxcala ,"42,23 ",  228 ,  13 ,  12 ,  24 ,  18 ,  5 ,  46 ,  37 ,  14 ,  13 ,  13 ,  24 ,  9
Veracruz ,"4,45 ",  164 ,  8 ,  7 ,  18 ,  15 ,  12 ,  12 ,  25 ,  14 ,  16 ,  10 ,  17 ,  10
Yucatán ,"15,46 ",  140 ,  13 ,  10 ,  14 ,  5 ,  11 ,  12 ,  9 ,  9 ,  13 ,  17 ,  20 ,  7
Zacatecas ,"23,70 ",  172 ,  13 ,  4 ,  16 ,  7 ,  14 ,  12 ,  18 ,  20 ,  12 ,  15 ,  20 ,  21
TOTAL GLOBAL ,"18,04 ", 9 654 ,  568 ,  648 ,  840 ,  793 ,  940 ,  783 ,  754 ,  977 ,  873 ,  806 ,  937 ,  735
